Character,Dialogue
David,"Well okay, fine, just book 'em in with two rooms, these people own the town; They're big deals."
David,"We'll need three rooms, minimum."
Roland,": Ooh, no can do, honey."
Roland,"Look, we have a one room comp policy here, and I am personally throwing in an extra room out of sheer decency, so..."
Roland,What about suites? Do you have a couple of suites?
Roland,This guy!
Roland,Um...
Roland,"No, this is a motel, so we cater more to off road truckers and drunk teenagers."
Moira,": Please, someone just give me a key, to a door, to a room any room! I just want a bathtub, and a long extension cord, please."
Roland,": There you go, ma'am."
Roland,It smells like a gym bag.
Moira,: Does anyone else feel light headed?
Roland,"You know, I did the deed in just about every room in this place."
Roland,"Yep, if a forensic team came in here with one of those blue lights, this place would just light up!"
Roland,"Okay, that's good."
Alexis,: Ew! Ew! Ew! Ew! Ew!
David,: Oh my God. Oh my God!
David,"Oh hey, chief, the other room's right through there."
David,(Keys jingle)
David,Here you go.
David,(Relaxed grunt)
Moira,"I should probably pull off that cover, and... burn it."
Roland,: All right.
Roland,"Good, Roland, thank you very much, appreciate everything, uh..."
T.V. announcer,: ... Have a ball in the land down under!
T.V. announcer,Okay.
T.V. announcer,(Changing channels)
Alexis,Okay.
David,: Oof!
Alexis,"Okay, okay, okay."
Alexis,Okay. Okay.
Alexis,Okay. Okay. I love you!
Alexis,"Well, the thing is we won't be watching a lot of television, but again, thank you, I don't want to keep you, I know you're a busy man."
Alexis,(Gasps)
Alexis,(Muffled retch)
Alexis,Whoa!
Alexis,Hi.
Alexis,Can I help you?
David,": I'm looking for an extra towel,"
Stevie,: Okay...
Stevie,"And this might be a stupid question, considering the state of the rugs in our room, but do you have a business centre here?"
Stevie,"Yes, we do have a business center."
Stevie,"You can find it right outside the doors to your left, right beside the hammam spa."
Stevie,Would you like me to book you a treatment while you're at it?
David,": Thank you, no, just the towel, thanks."
David,I'll get those right out.
David,"(g*nshots, dramatic music on television)"
David,"Well Roland, once again, thank you for giving us the lay of the land here, but we have some serious unpacking to do."
David,"Oh, sure!"
Johnny,: If you don't mind.
Johnny,"No problem there, Johnny, I don't mind helpin' out."
Johnny,"Listen, one thing before I go here, um..."
Johnny,Do you mind if I use your toilet?
Moira,: Is it absolutely necessary?
Roland,": Uh, yeah, I would say it's absolutely necessary!"
Roland,(Laughs) Excuse me.
Roland,Absolutely necessary.
Roland,"Yes, that train has left the station, if you know what I mean! (Chuckles)"
David,: I need that bed.
Alexis,: Why?
David,: Because I need it.
Alexis,: Why?
Alexis,"Because if someone were to break in here in the middle of the night wanting to m*rder us, they would attack this bed first, so I need this bed."
Alexis,So you're saying that you want me to get m*rder*d first?!
Alexis,In front of you? And then what would you do?
Alexis,Would you just run away and leave me to bleed out...
Alexis,On the floor?!
Alexis,"Uh, sort of, that was the plan, yeah."
Alexis,": Okay. Well, you can have the bed when I leave."
David,": Well, where are you going?"
Alexis,": Stavros is flying in to get me, I told you that."
Alexis,What do you mean Stavros is com...
Alexis,What do you mean? When? When is he doing that?
Alexis,"Like, whenever stupid Mary-Kate stops hogging his plane."
Alexis,"Well, where are we going?"
Alexis,"Okay, at present, he's just coming for me, but then I figured that we would just come back and grab you guys at some point."
Alexis,"What kind of sociopath abandons her family in some vomit soaked dump, to gallivant around the world with her dumb shipping heir loser boyfriend she's known for three months?!"
Alexis,"Um, David, it will be four months next month!"
Alexis,Oh my God!
Alexis,"And he just told me that he could potentially see himself considering saying ""I love you"" at some point sometime soon, so..."
Alexis,That's the stupidest thing I've ever heard.
Alexis,"I'm telling mom. I'm telling mom and dad, have you told them?"
Alexis,": No! No David, I'm waiting for the right opportunity."
Alexis,"Okay, otherwise dad's gonna cry, and mom's gonna do that thing where she pretends that nothing's wrong, and then just doesn't talk to me for five months, and I don't want that."
Alexis,"Well, I need this bed! I need it, so."
Alexis,"You know what, David?!"
Alexis,You get m*rder*d first for once!
Alexis,"No, you get m*rder*d first!"
Alexis,"David, you get m*rder*d first!"
David,": No, you! You do it!"
Alexis,": Yes, you get m*rder*d first! David, you get m*rder*d first!"
Alexis,(Door creaks open)
Alexis,I actually think this place is kinda cute.
Moira,: Did you say cute?
Moira,"No Alexis, Martha Stewart's Hampton home is cute."
David,: Where's that weird man?
David,Where?
David,He's in the bathroom.
David,He... he won't leave!
David,"Well, he's been in there for a very long ti..."
David,Oh my God! Oh my God!
David,(Toilet flushes)
Roland,: Jeez. Um... Boy.
Roland,Remind me to get that window fixed.
Roland,It will not open.
Roland,"Roland, listen, thank you very much, but I appreciate everything you've done, we need a little private time now, as a family."
Roland,"Sure, well actually, those curtains do close there so..."
Roland,"Oh, look! You've got Channel 19!"
Roland,"Roland, could you get the f*ck out?!"
T.V. announcer,: This latest model is a revelation in innovation.
T.V. announcer,"I am not lying folks, it's gonna last you a lifetime."
T.V. announcer,You are gonna thank...
T.V. announcer,That was an overreaction. That was uncalled for.
T.V. announcer,"It's just... you know, we're a little tired, it's been a long day, there's a pharmacy worth of dr*gs wearing off on most of us right now, and I just think as a family, we just need a little time to chill."
T.V. announcer,"Johnny, please, you don't have to apologize, and you really don't have to hit me over the head with this sort of thing, I get it, you need your little family time and all that, I'm sure."
T.V. announcer,No problem.
T.V. announcer,"You know what I'll do, I'll um..."
T.V. announcer,I'll just get the f*ck out of here.
T.V. announcer,"(Door slams, shade rattles forcefully)"
Alexis,: I think it's kinda sweet.
Alexis,"Alexis, what's going on with you?"
Alexis,: What do you mean?
Moira,: Seriously?!
Moira,"The room was ""cute,"" this place is ""sweet."""
David,": I am personally offended by this place, I don't know what you think is nice about it."
Moira,: The town is disgusting. It is gruesome.
Alexis,": It is charming, it is quaint, it's like out of a storybook."
Alexis,"Alexis, what the hell is the matter with you?!"
Alexis,"Okay... Stavros is flying in to get me, and I am going to go live with him for a little bit."
Alexis,"Well, that is not happening."
Alexis,"And I am appalled that my baby girl has turned into a selfish, duplicitous whore!"
Alexis,"Oh, hello!"
Twyla,": Hi, I'm Twyla. I'll be your waitress today."
Twyla,"Anyway, I read about you guys, and everything you've gone through, it sounds super crappy."
Twyla,Super crappy?
Twyla,"It turns out his entire business was illegal, and he lost everything."
Twyla,Hm... not quite the same.
Twyla,"Yeah, no, he went to prison, which is terrible, but..."
Twyla,"But he is learning Spanish, no mas, le duele!"
Twyla,"I think it means, ""stop, it hurts."""
Twyla,"Oh, wonderful anecdote."
Twyla,Could you give us a moment please?
Twyla,"Whenever you're ready, I'm just right over here."
Twyla,I forbid you to abandon our family.
Twyla,"I am a grown woman, mother."
Twyla,This is an act of a spoiled child!
Twyla,I think it's unforgivable!
Alexis,": I think that you're just super jealous,"
Alexis,'cause I'm getting out of here!
Alexis,"Also, you have a big thing of dandruff on your eyebrow."
David,: Don't do that!
Johnny,": Kids, stop, stop!"
Moira,": The world is falling apart around us John, and I'm dying inside."
Johnny,": Well, I'm feeling a little queasy myself."
Johnny,"Oh, brisket!"
David,: Give me... some spale!
Alexis,: David!
Moira,: John...
Moira,: Oh my God!
Alexis,: Umm...
Alexis,"These rooms did have doors, didn't they?"
Alexis,"Yeah, it's a hotel, they're hotel rooms!"
Alexis,It's a motel! These are motel rooms.
Alexis,What if they took our stuff?!
David,: What stuff? There's no stuff to take.
David,I have stuff!
David,Son of a b*tch!
David,(Door slams)
David,"Yeah, I've got a problem."
David,If this is about doors...
David,"Yeah, it's about doors, yeah, my doors are gone, my front door, somebody stole my doors!"
Stevie,": Yeah, you're gonna have to talk to Roland about that."
Stevie,"He lives just down the street, you make a left out of the motel and then another left."
Stevie,It's a house with a truck in the driveway.
Stevie,There's a bumper sticker of a naked Helen Mirren.
Stevie,"(Moira screams) Oh my God, no! No! No!"
Alexis,: What?!
Alexis,Ah! My earrings! They were there.
Alexis,They're not there!
David,: Where did they go?
David,I don't know!
David,"I don't know! First you threatened to abandon me, and now my precious diamonds are gone!"
David,"Okay, you are super dramatic right now."
David,Shut up and look for them! (Shrieks)
David,"(Whimpers, shrieks)"
David,(Screaming repeatedly)
David,(Screams)
David,(Sobbing hysterically)
David,Get open!
David,(Dog barks)
Johnny,"Yeah, of course you see me."
Johnny,I'm looking at my gravel.
Johnny,"Gravel these days, what are you gonna do?"
Johnny,": Yeah, it's gravel."
Roland,": Yeah, it's gravel!"
Roland,"Hey, good news for you."
Roland,I talked to a guy about that bathroom window.
Roland,That's the least of my concerns right now!
Roland,"Oh really? Well, why don't we address your concerns?!"
Roland,The doors! I want my doors back!
Roland,: Oh!
Johnny,: Before it gets dark!
Johnny,My son is afraid of moths.
Johnny,"Oh, hmm. Well, here's the thing about that Johnny, you see, you did a bad thing."
Johnny,You disrespected me in front of your family!
Johnny,And now they think less of me.
Johnny,I doubt that's possible.
Johnny,"And to be honest, you were kinda breathing down our necks a little bit back at the motel."
Johnny,"Johnny, when I was a kid and I did a bad thing, my father took the doors off my room."
Johnny,"And he said to me, ""Roland, privacy is earned."""
Johnny,I am having a tough time following that.
Johnny,What the hell does that have to do with privacy?
Johnny,"Nothing. I just got mad, and I took your doors."
Johnny,"Look, if you took offense to anything I said back at the motel, just know it wasn't personal."
Johnny,"All right, apology accepted."
Johnny,"Well, that was less of an apology, and more of an explanation."
Johnny,"Nevertheless, I accept your apology."
Johnny,Which it wasn't!
Johnny,So thank you again for that apology.
Johnny,"Well, there was no apology, and I can't do this anymore!"
Johnny,"You said you're sorry in a very sweet and humble way, and that takes a big man to do that, and that's what Johnny Rose is! A big man! Ooh!"
Moira,: Oh! (Banging)
Moira,Hello! Hello!
Moira,"Hi, hello, come here, please."
Moira,I don't suppose you saw any hobos or crackheads loitering around the hotel today?
Moira,"No crackheads, no..."
Moira,"While the rooms were exposed to the world like a Moroccan fair, someone got in here and stole my earrings."
Moira,But it was just... but it was just you here today.
Stevie,: It was.
Moira,: It was.
Moira,I'm assuming you were the only one here on the premises today?
Moira,I think I know where you're going with this.
Moira,"No, I'm simply confirming that you alone were here when the earrings were stolen."
Moira,Are you asking me if I stole your earrings?
Moira,"No, I would never, please!"
Moira,But I also would certainly never press charges if my earrings were suddenly to be returned.
Moira,"If they suddenly reappeared, if you gave them back I would not press charges, I would look the other way."
Moira,"Okay, you know what? I gotta run."
Moira,'Cause I wanna hit the pawn shop before it closes.
Moira,"I owe my crack dealer a ton of money, so."
Moira,"You seem like you have this under control, though."
David,: What just happened?!
Moira,": David, I politely asked that concierge girl if she had stolen my earrings, and she turned ice cold, and now she's on her way to a pawn shop!"
David,: What?! I need a towel!
David,"Hello, hi."
David,"Hi, I am sorry if my mom accused you of taking something."
Stevie,: It's fine.
Stevie,"Okay, but does this mean that when you're cleaning our rooms, you're gonna put weird stuff in our beds out of spite, or something?"
Stevie,I won't be cleaning your room.
Stevie,"Okay, can I ask you a question?"
Stevie,sh**t.
Stevie,I think you're kind of rude!
Stevie,Is that a question?
Stevie,"I have asked you thrice now for a towel, so that I may wash this town off my body."
Stevie,Do you think I wanna be here?
Stevie,Do you think I wanna be here?!
Stevie,"I don't know what you want, you've given me one word answers since I got here!"
Stevie,So if I get you a towel you'll stop following me to my car?
Stevie,Yes! Yes!
Stevie,"Fine, but I'm only doing this because you called me rude, and I take that as a compliment."
Stevie,The man is a lunatic!
Stevie,What the hell happened here?
Stevie,We've been robbed.
Stevie,Right now some local is pawning my earrings for crank.
Johnny,: Your diamonds?!
Moira,": Yes, my diamonds, the one thing I could hide under my tongue."
Moira,"Moira, I took your earrings out of here, and I put them in my shoe. For safekeeping."
Alexis,Stavros just texted me.
Alexis,"And he ended it, he's not coming!"
Alexis,"He said he doesn't have time to come and get me, because he already rsvp'd to Diddy's white party, and doesn't have time to do both!"
Alexis,But I was supposed to be his date to the white party!
Alexis,"Alexis, he was never my favourite Stavros."
Alexis,I've hated that guy ever since he asked me to do lines with him at my sixtieth.
Alexis,"Just out of sheer curiosity, um, where do you stand now on whether or not you think this motel is cute?"
Alexis,"Like, is it still cute, or is it..."
Alexis,"You're a d*ck, David!"
David,": Oh, I'm a d*ck!"
David,"Okay, did I dump you for a party?!"
Johnny,": David, help me with the doors."
Johnny,"No I can't, I just got out of the shower."
Johnny,I need help with the doors.
David,: Oh my God!
Alexis,": David, help him with the doors!"
David,: You help him with the doors!
Alexis,: No!
Alexis,"David, could you help me with the doors?!"
Alexis,It's air drying!
Alexis,"Pick up a hammer, and nail this coffin shut!"
Alexis,As if I didn't see this coming.
Alexis,He's broken up with me five times already.
Alexis,"Like, there was that time that he never met me in Rio,"
Alexis,his ex wife's engagement ring?
Alexis,Oh my God! Can you do me a huge favour?
Alexis,"And never repeat this to anyone that you respect, okay?"
David,: Okay? Okay.
Alexis,: Okay.
Alexis,"Kids, we just came in to say good night, and to remind you that we will get through this..."
David,": Okay, good night!"
Johnny,: As a family...
David,: Warmest regards to you both.
David,And that will end up on our feet in no time!
David,"Of course, by then our feet will be shoeless, and filthy and mangled, from walking on cigarette butts and broken beer bottles."
David,"So, seriously Alexis, enough about Stavros!"
David,I'm sorry if I am going through something right now!
David,: You're going through something?!
Moira,": Good night, children."
Johnny,: Good night!
David,: Good night.
Alexis,: (Tearfully) Good night.
unknown,"Episode transcripts for the TV show ""Schitt's Creek"". Aired: January 2015 to April 2020.*"
unknown,(Dripping)
unknown,(Clicks light on)
Johnny,: Moira! Moira!
Moira,: Hm.
Moira,: Oh no!
Moira,I just finally cried myself to sleep.
Johnny,: The bed is soaking wet.
Moira,: Is it blood?
Johnny,: No! There's... there is leak in the ceiling.
Johnny,There is a brown disgusting drip coming.
Moira,: Owwww!
Johnny,: Look it! Look... oh my God.
Moira,: I can't do it.
Johnny,: This place is a dump! It's a dump!
Moira,: I tried!
Johnny,: You know what it's a hell hole.
Johnny,"I tired, John, but I can't!"
Johnny,: Wake up.
David,: Ahh!
Alexis,: Ahh!
Johnny,": Start packing, the pluming is shot to hell in this place and we are getting out. We are getting out!"
David,: What are you wearing? What is that? A nightgown?
Johnny,": It's a nightshirt, David. And that's not the issue."
Johnny,The issue is the brown sludge in my bed.
Johnny,We're selling the place!
David,: It's 6:00 am!
Johnny,: What's the name of that mouthy kid at the front desk?
David,: I don't know. I'm trying very hard not to connect with people right now.
David,"The mouth the mouth, the girl."
David,: You might want to rethink the nightgown first.
David,There's an ebenezer scrooge thing happening right now.
Alexis,": Oh my God, that's who I was thinking of."
Johnny,: You know what?! I'll do it myself.
Johnny,My best to Bob Cratchit.
Johnny,♪
Johnny,(Shuts door)
Johnny,(Rings bell)
Johnny,Hello! Hello! Service?
Johnny,This bell is broken.
Stevie,": Yeah, sorry."
Stevie,It's more or less decorative.
Johnny,: There's a leak in my room.
Johnny,"Brown, disgusting sewage water was dripping all over my bed this morning."
Johnny,I was soaking wet. So I need a plumber.
Stevie,: You want me to call a plumber?
Johnny,: (Incredulous) Do I want you to call a plumber?
Johnny,"Yes, yes I do. I want you call..."
Johnny,You should already be on the phone.
Johnny,Could you call a plumber?
Johnny,Stevie let's see if he's home... or conscious.
Johnny,"He's a good guy, he's just a big drinker."
Johnny,: I also need a real estate agent.
Johnny,The name of a good real estate agent right away.
Stevie,": Ooh, there's a guy named Ray."
Stevie,Yeah. He's the best one. He's also the only one so...
Stevie,A guy named Ray...
Stevie,": Is there anything else I can help you with, Mr. Rose?"
Stevie,Yes. My wife and I will be taking breakfast in our room this morning.
Stevie,Eggs florentine and a yoghurt parfait.
Stevie,": Yeah... unfortunately, due to a lack of everything, we don't do room service."
Stevie,"Uh, but you're always welcome to help yourself to our complimentary espresso bar."
Johnny,: I'd rather drink the pipe-water.
Stevie,: I hear ya.
Alexis,: Ew! Who even is this girl?
Alexis,He said he'd never date someone with a toe ring and yet...
Moira,: Rub my back.
David,: What?! No.
Moira,: I rubbed your back many a nights when you were little.
David,": Yeah, in exchange for half my allowance."
Moira,: Fine. You may select one silver piece from my accessory case.
Moira,Right here.
Alexis,: Omigod... she has hakuna matata tattooed on her foot.
David,: Stavros was seeing escorts before you.
David,A Disney tattoo shouldn't be a surprise.
David,We said no social media post breakup. We had a pact about that.
David,: He dates hooker.
David,"Oh, well, I'm sorry, I don't hire my friends at model castings."
David,"Actually, now that I think about in, where are those friends?"
David,: They're just giving me space right now.
David,Because they're considered people.
David,": Okay. Well, I think it's bests that he dumped you."
Alexis,: He didn't dump me.
Alexis,We actually both decided that it was best that he see other people so...
Moira,": Children, mindless bickering is a luxury we may no longer afford."
Moira,You are blind to reality and for that I am most proud but our worlds evil twin... has reared her ugly...
David,: Okay. I'm taking my journal into the bathroom.
David,Where I will be shutting the door.
David,David! You might actually wanna hear this.
David,(Slams door)
Ray,: Oh hi!
Johnny,: Are you Ray?
Ray,: Yes.
Johnny,: You're late.
Johnny,"Johnny Rrose. My wife, Moira."
Moira,: Hello.
Ray,: Hi.
Ray,"Oh, I love your complexion."
Ray,": So... what can I help you with, housing, investment opportunities?"
Moira,: Mr. Rose and I would like to put a for sale sign on this incredible town.
Johnny,: We're willing to settle for what we paid for it.
Johnny,"More if you can get it, but definitely not less."
Ray,": Well, I'm not gonna lie to you I'm not super optimistic."
Ray,"You know, because the government saw no value in Schitt's Creek."
Ray,"You know, because of the humiliating..."
Johnny,": Yes, we know. We know. We know."
Ray,": Well, we'll do our best."
Ray,First we just have to get Roland to sign off on the listing and then we're good to go.
Ray,I need to confer with the financial powerhouse of the family.
Ray,Since when did the mayor need to sign off on this?
Johnny,": Ray, since when did the mayor need to sign off on this?"
Ray,": Well, it's all here..."
Ray,Son of a b*tch!
David,": Oh, excuse me."
David,I don't think my sheets have been cleaned.
David,They smell like cigarettes.
Stevie,": No, that's just the way they smell."
Stevie,"Also, you can tell your dad that the plumber was busy so I just pushed the bed against the wall and put down a bucket where the bed was."
David,": Okay. We're gonna be selling the town, so it'll be someone else's problem soon."
Stevie,: But it's such a great place to live.
Stevie,I think you're funny.
Stevie,Thank you.
Stevie,"Um, look I know this probably isn't your thing, but there's a tailgate party later."
Stevie,It's not exactly clubbing but you know... close.
Stevie,I don't even know what 'tailgate' means.
Stevie,In my mind I'm picturing like a Klan rally.
Stevie,": Yeah, just fewer pointy hats."
Stevie,It's just townies with un-ironic haircuts.
David,: Okay. I'm gonna pass I'm not really in the mood to be a victim of a hate crime tonight so...
Alexis,: Okay.
Alexis,Stavros just posted three more photos.
Alexis,Who are these jenky women?
Alexis,"Uh, from the looks of it they're blonde and mostly naked so..."
Alexis,(Exasperated exhale)
Alexis,Is there a bar in this place or are we in one of those religo cult towns?
Stevie,: I was just telling your brother about a party tonight.
Stevie,But he passed so...
Alexis,": Um, yes. Love that journey for me."
Alexis,"Okay, so I'm looking for a guy like a mechanic or someone that hammers stuff."
Alexis,"Um, at least 5'7. Kind of like full lips."
Alexis,Athletic body. Maybe a neck tattoo would be cute.
David,": No, it wouldn't."
David,"You know, I think this could be really good for me."
David,So thank you.
Stevie,: You're welcome. Yeah. I'm looking forward to it.
Stevie,Having all that fun.
Stevie,Wow.
Stevie,(Birds chirp)
Roland,": So Johnny Rose wants the ol' Johnny Hancock, huh?"
Johnny,: Well... (Chuckles)
Johnny,"Shouldn't be a problem, Johnny."
Johnny,I'm happy to signoff on the listing.
Johnny,": Well, thank you, very much, Rolland, I appreciated."
Roland,: Sure. Why don't you come over tonight and pick it up.
Johnny,"No, no. Roland, a signature, that's all I need."
Roland,": Johnny look, here is what you're gonna do; you're gonna grab the kids, you're gonna grab Moira, you're gonna come over we're gonna sit down like civilized people, have a few laughs, and then at the end of the evening we'll get to the big signing, okay?"
Johnny,": Right. Okay. Honestly Roland, it's just a, it's just a signature. A flick of the wrist. That's it."
Roland,": You're not rejecting my hospitality, are you, Johnny?"
Roland,"Because that really wouldn't be a good way to start things off, I don't think."
Johnny,": No, no. I'd love to come to dinner are you kidding me?"
Johnny,"No. I just thought, let's do business first, get the signature, and then dinner."
Johnny,"Johnny, you want that, to get that you need this."
Johnny,So let's just do this my way.
Johnny,": Yeah, yeah, sure. Yeah, dinner is."
Roland,": Dinner it is, atta boy. Okay."
Moira,": How did you not get the contract signed, John?"
Moira,"Can one thing, just one thing, not be easy in this town?!"
Johnny,": Look Roland's playing games, honey, he's playing games."
Johnny,So this is something we have to do.
Alexis,": Okay. Well, I would love to go, but I've actually double booked myself."
Alexis,if I bailed last minute. So I can't.
Alexis,I can't go.
Johnny,": Okay. Well, cancel it because you're coming to dinner."
Alexis,: No.
Alexis,One of you kids has to come.
Alexis,"Davis, you've got nothing on tonight."
Alexis,How... how do you know that.
Alexis,What do you have on tonight?
David,: What?
Johnny,": Good, it's settled."
Moira,": Or you could go alone, John."
Moira,Since you are the one who did not get the contract signed.
Johnny,": Moira, Roland wants the family there tonight, so my family has to go tonight."
Johnny,Let me explain something about business.
Moira,: Don't you dare...
Johnny,: It's a dance.
Johnny,And sometimes you lead. and sometimes you follow.
Moira,": And which are you doing now, John?"
Johnny,": I am leading, Moira."
Moira,: In a Roland game I think you're following.
Moira,"Following in the game but leading in the dance, right?"
Moira,"And he thinks he's leading in the dance, but only because I've allowed him to think..."
Moira,: Are you listening to this?
David,: Hmm?
Johnny,: It doesn't matter. I'm leading.
Moira,: I'll shall bathe.
Moira,"And if I bang my head and slip beneath the surface, so be it, Mr. Rose. (Slams door)"
Johnny,: What's this?
David,": Uh yeah, Stevie called."
David,Apparently the plumber's in rehab.
David,And you also... you have something on your...
David,I don't know what that is but it's a thing.
Alexis,Son of a b*tch!
Jocelyn,: Make yourselves at home. Roland is just on the toilet.
Johnny,": Oh, what a surprise."
David,": You have a really lovely home. It's really um, understated."
Jocelyn,: Thank you. I get a lot of my ideas from magazines.
Moira,: Don't be modest.
Moira,(Toilet flushes)
Moira,This is 100 percent you and only you.
Moira,"Roland hey, okay. It's the Roses. (Chuckles)"
Moira,"Come on, folk, please sit."
Moira,"Come on, I'm just the mayor for crying out loud."
Jocelyn,: That's too bad about Alexis.
Jocelyn,"Well, it is. But we did bring the life of the party."
Moira,: Our David.
Moira,(Johnny chuckles)
Roland,": Well, I guess, that just means there is more for you and me, right Dave?"
Jocelyn,: I hope everyone likes a cheeseball.
Jocelyn,Cheeseball? (Polite chuckle)
Jocelyn,It's the treat that keeps our love life percolating.
Jocelyn,It's like an aphrodisiac with him.
Jocelyn,Go ahead.
Johnny,": Oh yes, can't wait. Can't wait. Mmm."
Jocelyn,": So David, tell us about yourself I hear you're a gallerist."
Roland,: Wow. There's a $10 dollar word.
Moira,: David owned a brilliant gallery.
Moira,Tell them about your last show.
David,: It's not...
Moira,": You must, please."
Johnny,": Tell them, David, tell them."
David,: The gallery worked with Janet Kempfluugen.
Johnny,: Kempfluugen?
Johnny,She's a Brooklyn based performance artist she's a big deal.
Johnny,"Anyway um... she would walk into the space wearing a clay mask of a fawn, remove her clothing and breast feed members of the audience."
Johnny,It was a commentary on income inequality.
Roland,: Wow...
Johnny,: Heady stuff.
Roland,": Well, hmm..."
Alexis,: Lipgloss?
Stevie,: No thank you.
Alexis,": I wish I could pull off the whole gloomy, no makeup look."
Alexis,It's so French.
Stevie,: Thank you.
Alexis,": So, why are you single?"
Stevie,: Who said I'm single?
Alexis,": Girl, we're on the hunt. I hope you're single."
Stevie,": Oh, no. I'm not ""on the hunt""."
Stevie,"A town this size, you've either been through 'em or know a little too much about 'em."
Alexis,: Hmm. Okay. I'm gonna go do a lap and this swan is best when she flies solo.
Alexis,So you're gonna be okay?
Stevie,: I live here.
Alexis,: Okay. Am I good?
Stevie,: Hm-hm.
Alexis,: Yes? Okay. Thank you.
Stevie,: Are you not cold-
Stevie,"Chuck, beer!"
Stevie,(Effort grunts)
Roland,": I know it's gotta be in here somewhere,"
Johnny,": Maybe a fork would help, Roland?"
Roland,": Oh, that's sweet. Thank you. I'm okay. I'll find it."
Johnny,": So is that the ah, contract over there?"
Johnny,"Yeah, it is. You know, I gotta be honest with you, I tried reading that thing it is really boring."
Johnny,"Ah, got it! There she is! Okay."
Johnny,"Ohh! Oh my God, honey... oh, that is good."
Moira,": I believe you were saying, John."
Johnny,: Yes. This reminds me of a merger I put together in Zurich.
Johnny,It was two families breaking bread together.
David,: Ahh! Agh. My head. My head hurts.
David,": Um, it think it's the migraines that I get a lot."
Johnny,": Oh, I think... I think that'll pass, David."
Johnny,I don't think it's gonna pass. I don't think it's passing.
Jocelyn,: Migraines can be so awful.
Johnny,": Yeah, well, not this one. Not this one."
David,": Yeah, you know what? I... I think I need to go."
Johnny,: I think you need to eat something and that will help.
Johnny,"No, I think I need to go back."
Moira,: (Quietly) Take me with you please.
Johnny,": David, sit down. Sit down. Sit back down."
Roland,: Why don't you lay down on our mattress.
Roland,The sheets are in the dryer but there is rubber pad.
Roland,No. Thanks.
Johnny,: David! Don't go near the door.
Johnny,David! Do not open that door.
